subject,run,trial,audio_filename,is_naturalistic,num_words
1,1,1,nat_01923.wav,True,10
1,1,2,nat_13372.wav,True,10
1,1,3,nat_01686.wav,True,9
1,1,4,ctrl_01173.wav,False,9
1,1,5,nat_08679.wav,True,10
1,1,6,nat_01871.wav,True,9
1,1,7,ctrl_00134.wav,False,11
1,1,8,ctrl_01127.wav,False,10
1,1,9,ctrl_01175.wav,False,6
1,1,10,nat_17701.wav,True,11
1,1,11,nat_10853.wav,True,10
1,1,12,nat_00280.wav,True,7
1,1,13,nat_02458.wav,True,8
1,1,14,ctrl_01061.wav,False,14
1,1,15,nat_17050.wav,True,10
1,1,16,nat_14535.wav,True,10
1,1,17,ctrl_00620.wav,False,8
1,1,18,nat_15879.wav,True,10
1,1,19,nat_14419.wav,True,9
1,1,20,ctrl_00121.wav,False,9
1,1,21,nat_18668.wav,True,9
1,1,22,nat_06925.wav,True,10
1,1,23,nat_17865.wav,True,11
1,1,24,nat_05447.wav,True,8
1,1,25,ctrl_00814.wav,False,10
1,1,26,nat_05983.wav,True,11
1,1,27,nat_04802.wav,True,8
1,1,28,nat_01100.wav,True,11
1,1,29,ctrl_00849.wav,False,6
1,1,30,nat_16289.wav,True,10
1,1,31,nat_06972.wav,True,10
1,1,32,ctrl_01046.wav,False,15
1,1,33,nat_13875.wav,True,10
1,1,34,ctrl_01021.wav,False,11
1,1,35,ctrl_01159.wav,False,10
1,1,36,nat_16530.wav,True,6
1,1,37,nat_17735.wav,True,7
1,1,38,nat_02853.wav,True,10
1,1,39,nat_00424.wav,True,8
1,1,40,nat_04997.wav,True,8
1,1,41,nat_04604.wav,True,11
1,1,42,nat_10333.wav,True,8
1,1,43,ctrl_00795.wav,False,16
1,1,44,ctrl_01157.wav,False,9
1,1,45,nat_01395.wav,True,11
1,1,46,nat_18282.wav,True,7
1,1,47,nat_14597.wav,True,11
1,1,48,ctrl_00507.wav,False,9
1,1,49,nat_06056.wav,True,11
1,1,50,ctrl_00728.wav,False,9
1,1,51,nat_18098.wav,True,11
1,1,52,ctrl_00595.wav,False,10
1,1,53,nat_18436.wav,True,9
1,1,54,ctrl_00705.wav,False,10
1,1,55,ctrl_00127.wav,False,7
